Layer Name,n,d,LoftQ (2B),LoftQ (4B),Loftq-LPLR (2B),Loftq-LPLR (4B)
model.layers.0.self_attn.q_proj.weight,4096,4096,0.35887085056659185,0.07783024061707818,0.3588760438144388,0.07776079156902604
model.layers.0.self_attn.k_proj.weight,4096,1024,0.39333157464775087,0.07102540580071502,0.3933684171060401,0.07104873710012793
model.layers.0.self_attn.v_proj.weight,4096,1024,0.460505286430365,0.07155659770038057,0.4604110905347099,0.07151604113419577
model.layers.0.self_attn.o_proj.weight,4096,4096,0.48455147578432,0.08068229640037519,0.48451446513585267,0.08069261919729233
model.layers.0.mlp.gate_proj.weight,14336,4096,0.48996420508368704,0.083939729598765,0.48998342050263505,0.08394650923246644
model.layers.0.mlp.up_proj.weight,14336,4096,0.4992094238288746,0.08397466305790545,0.4991952616823957,0.08397046572608668
model.layers.0.mlp.down_proj.weight,14336,4096,0.4995999249542373,0.08434405841230885,0.49959523459406835,0.08435296904024245
model.layers.1.self_attn.q_proj.weight,4096,4096,0.4532440327502686,0.07869153229801766,0.4532434822846848,0.0786946395313788
model.layers.1.self_attn.k_proj.weight,4096,1024,0.4299350951589194,0.07564639085192848,0.43003559487986975,0.07563505906843751
model.layers.1.self_attn.v_proj.weight,4096,1024,0.4735910319002702,0.07250668341470351,0.47351201592643505,0.07249496373892023
model.layers.1.self_attn.o_proj.weight,4096,4096,0.49244447243742606,0.0803642769501884,0.49238448747678043,0.08036241999388716
model.layers.1.mlp.gate_proj.weight,14336,4096,0.49661043300798263,0.08358884518079471,0.49660485806227206,0.08359325055747507
model.layers.1.mlp.up_proj.weight,14336,4096,0.500709659919331,0.08385301060147221,0.5006785403000726,0.08385939198811106
model.layers.1.mlp.down_proj.weight,14336,4096,0.5008080194324038,0.08397914373516663,0.5007964828899651,0.0839819125053519
model.layers.2.self_attn.q_proj.weight,4096,4096,0.49300204089665245,0.08096911054846113,0.49305274606956945,0.08097809014960339
model.layers.2.self_attn.k_proj.weight,4096,1024,0.4647712464494826,0.07577533934851491,0.4648141305876083,0.0757628838748682
model.layers.2.self_attn.v_proj.weight,4096,1024,0.47593391511181493,0.07304846816979932,0.47596695673627026,0.07303290786991046
model.layers.2.self_attn.o_proj.weight,4096,4096,0.49573128273440104,0.08029547574313593,0.49564456908932225,0.08029604589788321
model.layers.2.mlp.gate_proj.weight,14336,4096,0.49940705909103755,0.08373213746812579,0.4993999730889387,0.08373952856198169
model.layers.2.mlp.up_proj.weight,14336,4096,0.5016459296217366,0.08369341531066064,0.5016188545565159,0.08369413717290956
model.layers.2.mlp.down_proj.weight,14336,4096,0.5007865142703319,0.08393141891200431,0.5007490752477187,0.08394142616481474
